,title,price,like,view,article,category,location,link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,애플워치se2 사용 거의안함 에누리가능,"270,000",7,143,"사용거의 하지않았고요 구매한지2달밖에안됐고 급한게 판매합니다 에누리가능해요 
기스도 없고 찍힘도 없어요",웨어러블(워치),전라북도 김제시 신풍동,https://m.bunjang.co.kr/products/181442899?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,애플워치40mm샐룰러나이키에디션팝니다(se),"300,000",5,174,"실사용5번이하입니다
실버입니다",생활가전,전국,https://m.bunjang.co.kr/products/181337585?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,애플워치6 44mm 셀룰러 알루미늄,"320,000",14,436,"2021년 8월 2일 구매.
실사용 첫 2달 조금 사용 후 최근 완전 방치 상태입니다. 사용도가 너무 떨어져 중고로 올리게 됐습니다.
상태는 액정에 미세한 기스 있으며, 만나서 재확인 가능합니다. 기타 사진 요구 있을시 찍어 드립니다. 
직거래로 하고 싶습니다. 자양3동 주민센터 앞에서 하려고 합니다. ",웨어러블(워치),서울특별시 광진구 자양제3동,https://m.bunjang.co.kr/products/175546067?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,애플워치se팔아요,"250,000",2,78,"기스사진에 안담길만큼 살짝났습니다 만나면 보여드릴게요 베터리 성능 96% 스트렙 장착외 4개
40mm",웨어러블(워치),전국,https://m.bunjang.co.kr/products/180904941?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,애플워치 6 스테인레스 스틸 실버 셀룰러 40mm 애플케어 23년 5월까,"580,000",3,369,"애플워치 6 스테인레스 셀룰러 40mm 실버 판매합니다.
사진 확인부탁드리며, 상태 양호합니다.
애플케어 플러스 23년 5월까지 가입되어 있어, 편하게 사용하시면 됩니다.
구매시 밀레니즈 루프, 스포츠 밴드 2종, 박스 함께 드립니다.",웨어러블(워치),서울특별시 강서구 발산제1동,https://m.bunjang.co.kr/products/180649570?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,아이폰7이랑 애플워치3이상 교환받아요,"100,000",7,749,"안녕하세요 
아이폰7 기스 직힘 없어요
교환연락주세요
구매도 가능해요",스마트폰,전국,https://m.bunjang.co.kr/products/180943711?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,애플워치 6 골드 40mm 풀박스,"360,000",2,58,"21년 4월에 구매한 애플워치 6 gps 40mm 골드제품 풀박스 판매합니다. 잘쓰게 되질 않아 판매해요. 직거래 및 번개페이 다 가능합니다. 원하시면 있는 
스트랩, 케이스 드리겠습니다.",웨어러블(워치),전국,https://m.bunjang.co.kr/products/180988738?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,애플워치 에르메스 누아 싱글 투어 (44/45) 스트랩,"370,000",4,807,"애플워치 에르메스 누아 싱글 투어 (44/45)
스트랩만 판매 중입니다
3.5 수령
상태 확인만 했습니다.
오창에서 직거래 혹은 택배거래합니다",웨어러블(워치),전국,https://m.bunjang.co.kr/products/180948271?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,애플워치 44mm 정품 스포츠 스트랩 미개봉 새상품,"54,900",1,364,"바로 계좌문의 + 입금시 택배비 무료
그 외 번개페이나 타 문의시에는 착불
교신 네고 사이즈감 문의시 차단 ",웨어러블(워치),서울특별시 관악구 은천동,https://m.bunjang.co.kr/products/177276734?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,애플워치se 40mm 셀룰러 스그,"290,000",8,182,"21년 8월 구매/착용 5회 미만/충전기 포함 풀박/배터리 성능 100/애플케어 X
더 사용하고 싶었는데 오래 차면 손목이 아파서 내놓습니다. 거의 안 써서 생활 기스도 없고 S급입니다. 원하시면 사진에 나오는 새 액세서리 모두 드립니다.
택배 거래만 합니다! 우체국 택배나 편의점 택배 이용합니다. 쿨거래 시 택포해 드립니다. 문의 편하게 주세요~",웨어러블(워치),전국,https://m.bunjang.co.kr/products/181390843?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,애플워치3 38mm gps 스페이스그레이 알루미늄,"180,000",1,73,"애플워치3 38mm 스페이스그레이 알루미늄 블랙
스트랩 기본, 충전케이블 및 상자포함
깨끗하게 썼어요!",웨어러블(워치),경기도 수원시 영통구 광교2동,https://m.bunjang.co.kr/products/181389746?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,애플워치6,"280,000",0,128,1년정도 지났어요! 부산은 직거래가능!,웨어러블(워치),전국,https://m.bunjang.co.kr/products/181275362?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,나이키 애플워치 7 45mm GPS,"450,000",23,731,"나이키 애플워치 7 45mm입니당 !! 
배터리 성능 100프로에요 기스 없고 상태 SSS입니다 많이 봐주세요 !!",웨어러블(워치),대구광역시 남구 봉덕2동,https://m.bunjang.co.kr/products/181034512?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,(애케플)애플워치6 나이키 스그 40mm (애케플),"290,000",17,978,"나이키 40미리 입니다
스포츠밴드 (스카치) 나이키밴드입니다
애케플 22년 10.6일 까지입니다
애케플있는거 감안하면 저렴하다생각합니다
직거래위주로 합니당
",웨어러블(워치),서울특별시 강동구 강일동,https://m.bunjang.co.kr/products/178071173?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,아이폰13 128  애플워치se,"1,200,000",2,276,"오늘 받은 물건입니다
조금만 넣어봣어요",스마트폰,부산광역시 금정구 서제2동,https://m.bunjang.co.kr/products/180533584?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,애플워치SE 44mm 나이키,"270,000",3,294,"애플워치 SE 44mm 나이키 팝니다 풀박이구요
실사용 한달정도했어요 하자없습니다.
충전기를 분실해서 싸게 팔아요 !
서울대입구역 직거래 혹은 택배거래합니다.
제조일 21년 4월입니다.
연락주세요~!",웨어러블(워치),서울특별시 관악구 행운동,https://m.bunjang.co.kr/products/181145087?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,애플워치3 38mm,"80,000",103,1766,"박스 있고 동봉된 스트랩 하나 드림니다
충전기가 없어서 충전기는 구하셔서 초기화 하셔야 합니다 ㅠㅠ 
거의 안 키고 꺼둬서 배터리 용량 널널하고 깨끗하고 기스 거의 없습니다",웨어러블(워치),경기도 안양시 동안구 부림동,https://m.bunjang.co.kr/products/181304565?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,애플워치se,"300,000",1,129,"산지 3개월인데 낀건 한달뿐이에용 ㅠ 간지템으로 산거라 사용감도 적고 애지중지햇어용 ㅠ 직거래만 받습니다 충전기는 줄만 이써용
",웨어러블(워치),경기도 군포시 군포2동,https://m.bunjang.co.kr/products/181079490?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,애플워치7 45mm판매합니다,"430,000",5,439,"사용한지 1달정도 됬고요 배터리 100%입니다
직거래 가능해요 
",웨어러블(워치),전국,https://m.bunjang.co.kr/products/176725671?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,애플워치7 일반,"435,000",0,89,"11월20일 479040원 구매 약3개월 사용했습니다
풀커버 필름을 게속끼고있어서 긁힘은 전혀없습니다
직거래 할인 팍팍해드려용",웨어러블(워치),전국,https://m.bunjang.co.kr/products/181300139?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,애플워치6 GPS 44mm (블루 알루미늄 색상),"320,000",1,95,"[애플워치6 GPS 44mm 블루 알루미늄 색상]
액정이랑 피부에 닿는 부분도 필름 붙이고 사용해서 정말 깨끗합니다 !
생활 기스나 찍힘 조금 잇는정도 이구요
정품으로 삿는데 여자친구랑 스트랩 하나씩 바꿔서 사용하다가 헤어져서 내놔봐요 ㅎㅎㅎ
(그래서 스트랩이 한쪽은 검정색 한쪽은 본체 색이랑 같은 파란색이에요)
애플워치 상자랑 충전기 그대로 잇습니다 ^^",웨어러블(워치),전국,https://m.bunjang.co.kr/products/181294809?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,애플워치 메탈스트랩 40mm,"8,000",13,294,"시계줄 줄이는 것도 드려요
반택 - 1600
우체국 - 3000
편의점 - 2500",케이스/보호필름/액세서리,전국,https://m.bunjang.co.kr/products/166615318?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,[새상품]애플워치 소가죽 스트랩 커플 밴드 7 6 5 4 3 2 1 SE,"13,800",8,387,"천연 소가죽으로 제작된 애플워치 스트랩 입니다
심플하면서 고급스러운 분위기를 자랑하는 스트랩으로 일반 가죽 등에 비해 탄탄한 가죽으로 내구성이 뛰어나 오랫동안 사용할 수 있습니다 :)
컬러 / 화이트 카멜브라운 딥브라운 블랙
배송비 2500원
교환 환불 불가",웨어러블(워치),전국,https://m.bunjang.co.kr/products/177080563?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,애플워치6 40mm 실버,"350,000",11,156,"애플워치6 40mm 실버 (20년 12월 구매)
다른 시계가 많아서 거의 실착안했어요 ㅠㅠ
애플워치6 44미리 추가금 교환도 받아요",웨어러블(워치),전국,https://m.bunjang.co.kr/products/180704305?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,애플워치 SE 스페이스 그레이 44mm,"260,000",6,274,작년 8월 구매했습니다!!,웨어러블(워치),전국,https://m.bunjang.co.kr/products/181268245?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,완전새거 애플워치 가죽스트랩 새삥 38/40!!!,"4,900",15,216,"뜯지도 않은 제품이구요 사용도 물론 하지않앗어요
소가죽 질감 좋구요  사이즈 미스로 판매해요 ",기타 액세서리,경상남도 양산시 중앙동,https://m.bunjang.co.kr/products/173942449?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,애플워치se베젤링,"13,000",1,109,"유튜브 리뷰 보고 샀는데
제가 가지고있는 스트랩이랑 어울리지않아서 올려요
스테인리스소재여서 고급스러워보여요",웨어러블(워치),전국,https://m.bunjang.co.kr/products/181245103?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
