,manner_degree,title,price,like,chat,view,category,time,article,total_area_revised
20,59.6,애플워치 SE 40MM 배85프로 판매합니다,180000,0,0,6,디지털기기,0.027,"
궁금하신사항이나 구매의사있으시면 당근톡 주시면 됩니다,
직거래는 구로디지털단지역 근처에서 가능하시구
직거래/택배/퀵 배달 모두 가능하시구요 (착불)
택배나 퀵 하실때에는 뽁뽁이로 안전하게 보내드립니다!
중고물건입니다.예민하신분은 피해주세요~^^
환불✖️ 비매너사절✖️
구매하실 의사 확실한 분만 챗주세요 👍‼️👍
",서울
21,36.5,애플워치 6 스테인리스 44mm 실버 셀룰러,660000,2,0,102,디지털기기,0.026,"
작년 5월 달에 1,080,000원에 구매하여 생활기스 제외 상태 말 할것도 없습니다 배터리 성능 93%이고 제조년월 2021입니다 
정품 밀레니즈 루프 포함 풀박스 입니다
실물 굉장히 이쁘고 무슨 패션이든 어울리는 알루미늄과는 비교가안되는 디자인입니다
직거래 숲속나라유치원 에서 진행합니다 교신, 찔러보기 칼 차단합니다
",경남
22,36.6,애플워치se 44mm 팝니다,230000,0,0,34,디지털기기,0.018,"
2019년 말에 사서 착용은 거의 안 했습니다
보증 기간은 끝났고 박스랑 충전기,스트랩 다 있습니다 배터리 성능 90%입니다
",경기도
23,49.2,카카오 애플워치 보조배터리,25000,1,0,35,디지털기기,0.021,"
카카오톡 선물하기로 수령했어요
개봉 안한  미사용품 
직거래는 소래포구역에서 합니다
",인천
24,58.9,애플워치se44mm 스페이스그레이 미개봉팔아요,320000,1,0,26,디지털기기,0.028,"
오늘구입했습니다
비닐도안뜯은새제품입니다
직접와주셔야해요
봉화삼거리입니다
",서울
25,41.4,애플워치6 44mm S급 팝니다,350000,1,0,18,디지털기기,0.028,"
애플워치6 44mm S급 팝니다.
상태 매우  깔끔하구요. 
구성은  풀 박스 + 케이스 드립니다.
배터리 효율은 91% 입니다.
요즘 사용을  잘 하지 않아 판매합니다.
연락주세요.
",인천
26,52.4,애플워치5 44mm. 블랙 스텐인레스,220000,1,0,17,디지털기기,0.013,"
애플워치5 44mm. 블랙. 스텐레스 밧데리84%
케이블포함 박스있음.
",서울
27,37.8,애플워치 정품 스트랩,25000,0,0,14,디지털기기,0.028,"
단순개봉품입니당
어비스블루 실리콘
",경북
28,43.7,Apple 애플워치 7  골드케이스 셀룰러 최상급팝니다~,700000,1,0,25,디지털기기,0.028,"
41mm 스테인리스 스틸 케이스, 밀레니즈 루프 골드케이스 골드루프 셀룰러입니다. 
1회미만 사용
감일순환로 130 감일스윗시티 6단지에서 거래가능해요.
",경기도
29,43.3,애플워치 7 나이키 gps,450000,1,0,32,디지털기기,0.012,"
리퍼 받고 텍 안땐 제품 팝니다
",서울
30,36.4,애플워치 7 실버 gps,330000,4,2,46,디지털기기,0.03,"
7월 구매했고 실사용 두번입니다!!!
찍힘이나 스크래쳐는 없습니다!!!
충전기 스트랩 모두 드릴게요 :)
쿨거 애눙 가능해용
",충북
31,37.4,애플워치 6 알루미늄 44mm 판매합니다,280000,0,0,32,디지털기기,0.03,"
21년 4월 제품이구요 배터리성능 87%입니다
정품 충전기 제외 풀박스구요
요이치 충전기랑 사용하던 케이스 챙겨드릴께요
",대구
32,41.5,애플워치SE 44mm 스페이스그레이 에케플O 판매합니다,320000,1,0,100,디지털기기,0.015,"
애플워치 SE 44mm 판매합니다 애케플 내년 후반까지 남아있는 모델이구요 한번도 사용안했었습니다. 배터리 효율 98%이구요 풀박스에 충전기도 따로 사용 안했었습니다.
구매하실때 애케플 양도해드립니다 
쿨거래시 네고 해드릴꺼구요 말도안되는 네고는 답장 안드립니다.
",서울
33,44.5,새상품 ) 애플워치 스트랩 40mm,3000,0,0,4,디지털기기,0.021,"
새상품입니다 안어울려서 팔아요
",서울
34,66.5,zb 애플워치 가죽스트랩,5000,4,0,107,기타 중고물품,0.015,"
단순개봉만 한 스트랩입니다
가죽재질 슬림사이즈입니다 38/40/41mm호환됩니다
자석으로 부착됩니다
원가 19000원 정도 였는데 슬림이 제겐 어울리지않아 판매합니다
마포역 직거래나 반값택배 가능합니다
",서울
35,38.6,애플워치5 스테인리스 블랙 44미리 미개봉 팝니다,400000,5,2,266,디지털기기,0.03,"
애플워치5 스테인리스 블랙 44미리 미개봉 팝니다
SE동일칩셋 + 셀룰러 + 심전도 + AOD(상시디스플레이) + 사파이어글래스 + 스테인리스스틸 유광블랙
se보다좋아요
여러대있습니다
두대이상사시면 38만원씩드립니다
방학2동주민센터쪽직거래합니다
",서울
36,36.5,애플워치7 41mm 풀커버 케이스,5000,3,0,67,디지털기기,0.03,"
애플워치7 클리어 풀커버 케이스입니다
직거래 경성대부경대역 2번출구 또는 대연힐스테이트푸르지오 정문에서 가능해요
",부산
37,38.5,애플워치 정품 스트랩 (새상품),25000,0,0,10,여성잡화,0.017,"
어비스블루 새상품입니다.저는 se 40mm구매한 스트랩입니다
포장도안뜯엇어요
",인천
