,title,price,like,view,article,category,location,link
14,애플워치 6 교신,"1,000",0,88,애플워치 6랑 7 추금받고 교신하실분 구합니다,웨어러블(워치),경기도 용인시 기흥구 동백동,https://m.bunjang.co.kr/products/190487563?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
15,애플워치 se 44mm 나이키,"270,000",23,336,사고서 일주일만 썼습니다 사자마자 케이스랑 필름 사용해서 거의 새거나 다름 없습니다 사고서 쓰는데 생각보다 저는 쓸 일이 별로 없는 거 같아 팔게 됐습니다,웨어러블(워치),충청남도 보령시 대천4동,https://m.bunjang.co.kr/products/190481239?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
16,애플워치 SE 44mm,"340,000",2,68,그냥 120프로 새상품입니다 선물 받은거라서 판매합니다ㅎㅎ 가격비싸면 연락주세요,남성 시계,부산광역시 해운대구 좌제2동,https://m.bunjang.co.kr/products/190455991?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
17,애플워치 6 40m 팔아요~!,"350,000",5,62,"배터리 용량 100% 입니다 :) 사용감 아예 없구요~! 기스도 없습니다 !!  배터리용량 보시면 아시겠지만 사놓고 사용을 많이 안했어요~! 쿨거시 만원 할인 가능합니다!
의정부 직거래만 가능해요!",웨어러블(워치),경기도 의정부시 호원2동,https://m.bunjang.co.kr/products/187539059?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
18,애플워치 7세대 알류미늄 gps모델 애케플,"370,000",1,41,"애플워치 7세대 알류미늄 gps모델 애케플, 밀레니즈 루프 판매합니다
수원 정자동에서만 거래합니다",웨어러블(워치),경기도 수원시 장안구 정자1동,https://m.bunjang.co.kr/products/190463432?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
19,무선 충전기(휴대폰+애플워치+무선이어폰),"43,000",3,200,얼마 안썻습니다. 기스도 없어요. 각인서비스도 했어요. 찬란하게 빛나리. 필름안떼서. 25w이상의 충전기 선 하나로 세가지 다 충전됩니다. ,케이블/충전기/주변기기,경기도 김포시 김포본동,https://m.bunjang.co.kr/products/176702692?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
20,애플워치 se 44mm,"300,000",0,25,"구매일주일 지났어요 서울역 직거래 
영수증보유중 궁금한거물어보새요",웨어러블(워치),전국,https://m.bunjang.co.kr/products/190454299?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
21,애플워치 나이키 스트랩 구합니다,"1,234",1,91,구매 할수도 있고 아니면 42 44 45 호환되는 블랙색상이랑 교환할분 구합니다 ㅜㅜ,웨어러블(워치),경기도 화성시 반월동,https://m.bunjang.co.kr/products/190448966?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
22,재고정리 애플워치 스트랩최저가 팝니다,"8,888",2,37,"모두 직접 찍은 실사입니다 (새상품)
쇼핑몰 후 재고정리로 인해 싸게 판매해요

3만원 이상 배송 무료입니다!
구로디지털단지,시흥사거리 직거래 가능합니다",기타 액세서리,서울특별시 금천구 시흥제1동,https://m.bunjang.co.kr/products/186279572?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
23,애플워치6 40mm 구해요,"250,000",0,43,"25만원 안으로
액정 기스없고
바디 흠집 없고
배터리성능 95% 이상으로 구합니다 

실버 또는 스그 원해요.",웨어러블(워치),대구광역시 북구 태전1동,https://m.bunjang.co.kr/products/190444900?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
24,애플워치 6 스테인리스 40mm gps+cellular,"420,000",7,183,"구매일 2022년 4월 24일
보증기간 2023년 4월 24일

풀박입니다
연락주세요!",웨어러블(워치),경기도 부천시 상3동,https://m.bunjang.co.kr/products/189779375?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
25,애플워치 se 실버 40mm GPS 팝니다!,"220,000",8,113,"샀는데 별로 쓰지도 않고 그래서 거의 새거에욤!!
배터리 효율 100%
샐룰러 아니에여 GPS입니다
충전기 드립니다! 구성품은 사면 오는 스포츠 밴드를 잃어버려서 그것만 없지 다 있습니당
택배만 가능 꼼꼼히 포장 해드립니다
입금만 받아요!!",웨어러블(워치),전라북도 전주시 덕진구 송천2동,https://m.bunjang.co.kr/products/190405730?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
